10692,11996,49,108
12850,11979,59,106
12837,11971,59,93
9608,11916,44,104
10453,11905,48,85
13706,11868,63,98
11989,11865,55,109
13949,11736,64,125
11123,11690,51,107
13286,11588,61,110
10673,11523,49,89
9830,11470,45,110
13053,11447,60,93
14140,11397,65,100
11119,11369,51,103
10284,11339,47,132
10468,11289,48,100
12642,11285,58,114
10674,11190,49,90
13062,11162,60,102
12859,11117,59,115
10680,10914,49,96
12636,10895,58,108
10896,10831,50,96
11992,10795,55,112
9165,10760,42,93
13052,10750,60,92
12208,10726,56,112
9269,10638,42,197
13274,10568,61,98
11129,10437,51,113
10695,10356,49,111
9815,10145,45,95
20790,10120,96,54
13063,10058,60,103
7010,10000,32,98
14568,9970,67,96
10252,9957,47,100
11332,9905,52,100
10260,9884,47,108
13503,9852,62,111
14139,9852,65,99
12404,9808,57,92
13492,9799,62,100
10708,9779,49,124
9607,9776,44,103
9826,9699,45,106
11542,9681,53,94
10474,9668,48,106
14569,9562,67,97
15427,9507,71,91
9596,9499,44,92
10913,9488,50,113
13058,9469,60,98
9603,9467,44,99
10465,9403,48,97
12405,9349,57,93
11775,9304,54,111
12402,9247,57,90
13276,9241,61,100
10257,9219,47,105
13283,9090,61,107
8949,9057,41,93
11096,9018,51,80
8954,8799,41,98
2275,8790,10,115
9612,8656,44,108
8324,8645,38,116
12611,8507,58,83
11556,8388,53,108
13493,8322,62,101
13278,8266,61,102
11557,8116,53,109
10256,8104,47,104
20370,8097,94,66
13269,8056,61,93
11098,8051,51,82
12829,7990,59,85
20653,7939,95,133
11762,7925,54,98
10456,7912,48,88
10254,7866,47,102
11124,7847,51,108
14800,7837,68,112
12426,7804,57,114
20586,7781,95,66
10044,7742,46,108
13064,7611,60,104
7658,7603,35,98
10698,7589,49,114
7226,7549,33,98
10476,7514,48,108
12447,7508,57,135
12643,7454,58,115
14142,7444,65,102
10039,7436,46,103
13295,7356,61,119
14141,7352,65,101
9813,7309,45,93
10481,7243,48,113
2726,7138,12,134
10029,7138,46,93
6361,7097,29,97
7654,7071,35,94
5249,7064,24,65
14135,7056,65,95
11108,7028,51,92
24037,7008,111,61
12858,6978,59,114
10669,6967,49,85
33738,6954,156,42
10909,6942,50,109
11125,6923,51,109
13268,6923,61,92
11334,6906,52,102
13277,6902,61,101
8109,6839,37,117
8307,6804,38,99
9828,6779,45,108
10700,6774,49,116
13076,6771,60,116
9605,6766,44,101
13714,6740,63,106
9611,6659,44,107
9604,6637,44,100
10265,6609,47,113
11808,6557,54,144
14354,6557,66,98
9814,6551,45,94
13270,6539,61,94
13920,6529,64,96
11776,6470,54,112
12834,6456,59,90
10681,6434,49,97
15886,6407,73,118
7442,6394,34,98
2730,6380,12,138
6794,6348,31,98
12394,6307,57,82
13720,6303,63,112
14547,6241,67,75
11109,6230,51,93
10667,6208,49,83
10258,6173,47,106
12396,6142,57,84
13936,6142,64,112
10036,6129,46,100
6578,6096,30,98
10027,6028,46,91
11972,5986,55,92
10248,5971,47,96
10904,5961,50,104
15193,5960,70,73
10702,5951,49,118
10024,5932,46,88
10435,5914,48,67
13285,5896,61,109
17367,5875,80,87
14584,5855,67,112
15212,5839,70,92
11326,5836,52,94
7874,5832,36,98
10707,5820,49,123
14134,5816,65,94
8301,5803,38,93
9386,5776,43,98
12833,5769,59,89
13065,5741,60,105
8738,5739,40,98
11101,5732,51,85
11146,5728,51,130
13061,5718,60,101
11118,5706,51,102
11120,5695,51,104
15232,5692,70,112
13079,5639,60,119
10030,5628,46,94
9592,5625,44,88
11144,5604,51,128
10049,5592,46,113
12204,5587,56,108
12615,5543,58,87
9827,5536,45,107
14152,5534,65,112
10699,5517,49,115
11100,5512,51,84
10676,5508,49,92
11541,5481,53,93
13293,5474,61,117
9400,5470,43,112
14782,5422,68,94
14368,5421,66,112
14577,5406,67,105
10897,5350,50,97
9375,5339,43,87
12635,5324,58,107
13483,5320,62,91
12641,5314,58,113
9616,5298,44,112
10457,5274,48,89
10473,5263,48,105
15016,5205,69,112
20368,5186,94,64
14997,5173,69,93
10045,5149,46,109
10042,5133,46,106
11121,5128,51,105
